name,rating,reviews,service
Birlasoft,3.4,(3.8k),IT Services & Consulting | Pune +50 other locations
Reliance Communications,4.0,(3.8k),Telecom | Mumbai +467 other locations
Synechron,3.4,(3.8k),IT Services & Consulting | Pune +33 other locations
PhonePe,4.0,(3.8k),FinTech | Bengaluru +409 other locations
Glenmark Pharmaceuticals,3.8,(3.8k),Pharma | Mumbai +194 other locations
Blinkit,3.8,(3.8k),Internet | Gurugram +162 other locations
Kotak Mahindra Life Insurance Company,3.5,(3.8k),Insurance | Mumbai +259 other locations
Bharat Electronics,4.2,(3.8k),Electronics Manufacturing | Bengaluru +88 other locations
Dabur,3.8,(3.7k),FMCG | New Delhi +322 other locations
Sodexo,4.0,(3.7k),Hospitality | Mumbai +162 other locations
Cogent E Services,3.1,(3.7k),BPO | Noida +58 other locations
Godrej & Boyce Manufacturing,3.8,(3.7k),Consumer Electronics & Appliances | Mumbai +175 other locations
Ipca Laboratories,3.8,(3.7k),Pharma | Mumbai +165 other locations
UNO Minda,4.0,(3.7k),Auto Components | Pune +112 other locations
ArcelorMittal Nippon Steel India,4.1,(3.7k),Iron & Steel | Surat +90 other locations
Abbott,4.1,(3.7k),Pharma | Mumbai +215 other locations
Aarti Industries,4.1,(3.7k),Agro Chemicals | Bharuch +60 other locations
Samvardhana Motherson Group,3.7,(3.7k),Auto Components | Noida +94 other locations
Reliance Projects & Property Management Services,4.0,(3.6k),Other | Kolkata +626 other locations
Reliance Digital,4.1,(3.6k),Retail | Mumbai +386 other locations
IGT Solutions,3.2,(3.6k),BPO | New Delhi +48 other locations
MRF Tyres,3.6,(3.6k),Auto Components | Chennai +195 other locations
Indian Oil Corporation,4.4,(3.6k),Oil & Gas | New Delhi +312 other locations
"NTT DATA, Inc.",3.9,(3.6k),IT Services & Consulting | Bengaluru +38 other locations
Alkem Laboratories,3.9,(3.6k),Pharma | Mumbai +201 other locations
Johnson Controls,3.5,(3.5k),Industrial Automation | Pune +58 other locations
[24]7.ai,3.4,(3.5k),Hospitality | Bengaluru +36 other locations
Honda Motorcycle & Scooter,4.1,(3.5k),Automobile | Gurugram +303 other locations
Vishal Mega Mart,3.7,(3.5k),Retail | New Delhi +382 other locations
Hindustan Coca Cola Beverages,4.0,(3.5k),Beverage | Bengaluru +265 other locations
Barclays,3.7,(3.5k),Banking | Pune +38 other locations
Bajaj General Insurance Limited,3.6,(3.5k),Insurance | Pune +310 other locations
UBS,3.8,(3.5k),Financial Services | Pune +19 other locations
DTDC Express,3.7,(3.5k),Logistics | New Delhi +274 other locations
IndusInd Nippon Life Insurance,3.4,(3.5k),Mumbai +494 other locations
ABB,4.0,(3.5k),Industrial Machinery | Bengaluru +109 other locations
RSPL Group,4.0,(3.5k),FMCG | Kanpur +263 other locations
TVS Credit Services Ltd,4.2,(3.4k),NBFC | Chennai +448 other locations
Ceat Tyres,3.9,(3.4k),Auto Components | Nagpur +143 other locations
AGS Health,3.9,(3.4k),Analytics & KPO | Chennai +64 other locations
NatWest Group,3.9,(3.4k),Banking | Gurugram +29 other locations
Ford Motor,4.2,(3.4k),Automobile | Chennai +131 other locations
HARMAN,3.8,(3.4k),Consumer Electronics & Appliances | Bengaluru +42 other locations
Alstom Transportation,3.7,(3.4k),Engineering & Construction | Bengaluru +80 other locations
Croma,3.8,(3.4k),Retail | Mumbai +193 other locations
Niva Bupa Health Insurance Company,4.0,(3.4k),Insurance | New Delhi +325 other locations
InterGlobe Aviation,3.4,(3.3k),Aviation | New Delhi +104 other locations
Conduent,3.4,(3.3k),BPO | Bengaluru +36 other locations
Tata AIG,4.0,(3.3k),Insurance | Mumbai +263 other locations
Tata Technologies,3.4,(3.3k),Automobile | Pune +58 other locations
Indian Air Force,4.6,(3.3k),Defence & Aerospace | New Delhi +135 other locations
Sagility,3.9,(3.3k),BPO | Bengaluru +29 other locations
